name,industry,country,employess
Microsoft,IT Software & Services,United States,"221,000"
Alphabet,IT Software & Services,United States,"182,502"
Samsung Electronics,"Semiconductors, Electronics, Electrical Engineering",South Korea,"270,372"
Adobe,IT Software & Services,United States,"29,000"
BMW Group,Automotive (Automotive and Suppliers),Germany,"154,950"
Delta Air Lines,Transportation and Logistics,United States,"90,000"
AIRBUS,Aerospace & Defense,Netherlands,"147,893"
IKEA,Retail and Wholesale,Netherlands,"208,000"
Lego Group,Packaged Goods,Denmark,"27,000"
IBM,"Semiconductors, Electronics, Electrical Engineering",United States,"187,000"
KB Financial Group,Banking and Financial Services,South Korea,"17,261"
Intel,IT Software & Services,United States,"131,000"
Sony,Conglomerate,Japan,"110,000"
Bosch,Automotive (Automotive and Suppliers),Germany,"429,400"
Apple,"Semiconductors, Electronics, Electrical Engineering",United States,"161,000"
Nike,"Clothing, Shoes, Sports Equipment",United States,"79,400"
Dell Technologies,"Semiconductors, Electronics, Electrical Engineering",United States,"133,000"
Standard Bank Group,Banking and Financial Services,South Africa,"50,451"
Cisco Systems,"Semiconductors, Electronics, Electrical Engineering",United States,"84,900"
Logitech International,"Semiconductors, Electronics, Electrical Engineering",Switzerland,"7,300"
Hilton Worldwide Holdings,Travel & Leisure,United States,"45,000"
NVIDIA,"Semiconductors, Electronics, Electrical Engineering",United States,"23,358"
Adidas,"Clothing, Shoes, Sports Equipment",Germany,"59,030"
Amazon,IT Software & Services,United States,"1,525,000"
Osaka Gas,"Construction, Chemicals, Raw Materials",Japan,"21,159"
Volkswagen Group,Automotive (Automotive and Suppliers),Germany,"684,000"
Marriott International,Travel & Leisure,United States,"411,000"
Rossmann,Retail and Wholesale,Germany,"62,100"
Mercedes-Benz Group,Automotive (Automotive and Suppliers),Germany,"166,000"
L'Oréal,Packaged Goods,France,"88,000"
Chanel,"Clothing, Shoes, Sports Equipment",United Kingdom,"32,000"
Siemens,"Engineering, Manufacturing",Germany,"320,000"
Volvo Group,"Engineering, Manufacturing",Sweden,"104,000"
Pfizer,Drugs & Biotechnology,United States,"88,000"
Roche Holding,Drugs & Biotechnology,Switzerland,"100,920"
Toyota Group,Automotive (Automotive and Suppliers),Japan,"380,793"
Novartis,Drugs & Biotechnology,Switzerland,"105,533"
Rolls-Royce Holdings,Aerospace & Defense,United Kingdom,"50,000"
Salesforce,IT Software & Services,United States,"72,000"
PayPal,Banking and Financial Services,United States,"27,200"
Schindler,"Engineering, Manufacturing",Switzerland,"69,000"
State Grid Corporation of China,Utilities,China,"1,720,000"
Rolex,"Clothing, Shoes, Sports Equipment",Switzerland,"14,000"
Sandvik,"Engineering, Manufacturing",Sweden,"40,000"
Puma,"Clothing, Shoes, Sports Equipment",Germany,"21,000"
Nintendo,Media & Advertising,Japan,"7,724"
Indeed,IT Software & Services,United States,"11,500"
Panasonic,"Engineering, Manufacturing",Japan,"90,000"
Boehringer Ingelheim,Drugs & Biotechnology,Germany,"52,000"
Enel,Utilities,Italy,"60,118"
LVMH Moët Hennessy Louis Vuitton,"Clothing, Shoes, Sports Equipment",France,"213,000"
Hyatt Hotels,Travel & Leisure,United States,"130,000"
American Express,Banking and Financial Services,United States,"60,000"
HP,IT Software & Services,United States,"58,000"
BASF,"Construction, Chemicals, Raw Materials",Germany,"112,000"
Shopify,IT Software & Services,Canada,"8,300"
Honda Motor,Automotive (Automotive and Suppliers),Japan,"230,104"
Fidelity Investments,Banking and Financial Services,United States,"75,000"
Netflix,Media & Advertising,United States,"13,000"
JPMorgan Chase,Banking and Financial Services,United States,"250,000"
Costco Wholesale,Retail and Wholesale,United States,"316,000"
Prada,"Clothing, Shoes, Sports Equipment",Italy,"14,000"
SAP,IT Software & Services,Germany,"105,000"
Yamaha,"Engineering, Manufacturing",Japan,"19,644"
Tokio Marine Holdings,Insurance,Japan,"43,000"
TUI Group,Travel & Leisure,Germany,"65,413"
Heineken,"Food, Soft Beverages, Alcohol & Tobacco",Netherlands,"89,000"
Lockheed Martin,Aerospace & Defense,United States,"116,000"
PTT ,"Construction, Chemicals, Raw Materials",Thailand,"3,574"
Target,Retail and Wholesale,United States,"400,000"
The Home Depot,Retail and Wholesale,United States,"475,000"
ABB,"Engineering, Manufacturing",Switzerland,"105,000"
Oracle,IT Software & Services,United States,"164,000"
Ford Motor,Automotive (Automotive and Suppliers),United States,"177,000"
Cathay Financial,Banking and Financial Services,Taiwan,"55,669"
Spotify Technology,IT Software & Services,Sweden,"5,584"
Johnson & Johnson,Drugs & Biotechnology,United States,"150,000"
Isuzu Motors,Automotive (Automotive and Suppliers),Japan,"45,034"
Bacardi,"Food, Soft Beverages, Alcohol & Tobacco",Bermuda,"9,000"
Air France-KLM,Transportation and Logistics,France,"76,000"
Canon,"Semiconductors, Electronics, Electrical Engineering",Japan,"169,151"
Sanofi ,Drugs & Biotechnology,France,"91,573"
Northrop Grumman,Aerospace & Defense,United States,"95,000"
Viatris,Health Care Equipment & Services,United States,"37,000"
Eli Lilly,Drugs & Biotechnology,United States,"45,750"
Petronas Chemicals,Drugs & Biotechnology,Malaysia,"50,000"
NEXON,IT Software & Services,Japan,"8,475"
Deutsche Telekom,"Telecommunications Services, Cable Supplier",Germany,"206,800"
San Miguel,"Food, Soft Beverages, Alcohol & Tobacco",Philippines,"50,433"
BHP Group,"Construction, Chemicals, Raw Materials",Australia,"80,000"
Meta Platforms,IT Software & Services,United States,"67,317"
Shinhan Financial Group,Banking and Financial Services,South Korea,"20,000"
Colgate-Palmolive,Packaged Goods,United States,"34,000"
Alibaba Group,IT Software & Services,China,"235,216"
Shiseido,"Construction, Chemicals, Raw Materials",Japan,"30,540"
Saudi Arabian Oil Company (Saudi Aramco),"Construction, Chemicals, Raw Materials",Saudi Arabia,"70,000"
Mastercard,Banking and Financial Services,United States,"33,400"
Air New Zealand,Transportation and Logistics,New Zealand,"11,474"
Carlsberg,"Food, Soft Beverages, Alcohol & Tobacco",Denmark,"39,375"
Hasbro,Retail and Wholesale,United States,"5,000"
Komatsu,"Engineering, Manufacturing",Japan,"65,738"
Ace Hardware,Retail and Wholesale,United States,"5,583"
Caterpillar,"Engineering, Manufacturing",United States,"109,100"
Infineon Technologies,"Semiconductors, Electronics, Electrical Engineering",Germany,"58,600"
Merck & Co.,Drugs & Biotechnology,United States,"68,000"
Novo Nordisk,Banking and Financial Services,Denmark,"55,000"
HubSpot,IT Software & Services,United States,"7,100"
KIA,Automotive (Automotive and Suppliers),South Korea,"52,000"
Chevron,"Construction, Chemicals, Raw Materials",United States,"45,600"
Kawasaki Heavy Industries,"Engineering, Manufacturing",Japan,"38,254"
"Continental Automotive Systems, Inc.",Automotive (Automotive and Suppliers),Germany,"199,038"
Philips,Health Care Equipment & Services,Netherlands,"78,831"
Four Seasons Hotels and Resorts,Travel & Leisure,Canada,"50,000"
Fujifilm Holdings,Conglomerate,Japan,"72,254"
Schneider Electric,"Engineering, Manufacturing",France,"135,000"
Emerson Electric,"Engineering, Manufacturing",United States,"67,000"
Warner Bros. Discovery,Media & Advertising,United States,"37,500"
Koç Holding,Conglomerate,Turkey,"115,000"
3M,Conglomerate,United States,"92,000"
Tencent Holdings,IT Software & Services,China,"56,780"
SC Johnson,"Engineering, Manufacturing",United States,"13,000"
Michelin Group,Automotive (Automotive and Suppliers),France,"125,000"
Industrial Bank of Korea,Banking and Financial Services,South Korea,"12,603"
JD.com,Retail and Wholesale,China,"45,000"
The Hartford,Banking and Financial Services,United States,"18,700"
Hitachi,Conglomerate,Japan,"268,655"
Huawei,"Telecommunications Services, Cable Supplier",China,"195,000"
International Red Cross,Healthcare & Social Services,Switzerland,"20,000"
Bridgestone,"Construction, Chemicals, Raw Materials",Japan,"125,199"
Unilever,Packaged Goods,United Kingdom,"128,000"
Expedia Group,Travel & Leisure,United States,"16,500"
Autodesk,IT Software & Services,United States,"14,100"
GSK,Drugs & Biotechnology,United Kingdom,"69,400"
A.P. Moller-Maersk,Transportation and Logistics,Denmark,"104,260"
DBS Bank,Banking and Financial Services,Singapore,"40,000"
Reliance Steel,"Engineering, Manufacturing",United States,"15,500"
Hyundai Motor,Automotive (Automotive and Suppliers),South Korea,"313,949"
Mitsubishi,Conglomerate,Japan,"80,037"
Visa,Banking and Financial Services,United States,"28,800"
BCG (Boston Consulting Group),Professional Services,United States,"30,000"
Armani Group,"Clothing, Shoes, Sports Equipment",Italy,"8,000"
Xiaomi  ,"Semiconductors, Electronics, Electrical Engineering",China,"33,627"
Ferrari,Automotive (Automotive and Suppliers),Italy,"4,988"
Wesfarmers,Retail and Wholesale,Australia,"120,000"
Bayer ,"Construction, Chemicals, Raw Materials",Germany,"101,369"
Ubisoft Entertainment,Media & Advertising,France,"21,000"
Henkel,Packaged Goods,Germany,"50,000"
Naver,IT Software & Services,South Korea,"4,383"
B. Braun,Health Care Equipment & Services,Germany,"65,000"
Revlon,Retail and Wholesale,United States,"5,600"
Mitsubishi Heavy Industries,"Engineering, Manufacturing",Japan,"77,697"
Procter & Gamble,Packaged Goods,United States,"106,000"
SK Group,Conglomerate,South Korea,"117,590"
Kärcher,"Semiconductors, Electronics, Electrical Engineering",Germany,"15,330"
Takeda Pharmaceutical,Drugs & Biotechnology,Japan,"49,095"
Sage Group,IT Software & Services,United Kingdom,"11,000"
TOTO,"Engineering, Manufacturing",Japan,"36,188"
KBC Group,Banking and Financial Services,Belgium,"41,000"
Danfoss,"Engineering, Manufacturing",Denmark,"40,043"
ANZ Group Holdings,Banking and Financial Services,Australia,"40,342"
Orange,"Telecommunications Services, Cable Supplier",France,"136,000"
Maybank,Banking and Financial Services,Malaysia,"42,000"
Kajima,"Construction, Chemicals, Raw Materials",Japan,"19,400"
Hewlett Packard Enterprise,IT Software & Services,United States,"62,000"
Beiersdorf,Packaged Goods,Germany,"22,485"
Tokyo Electron,"Semiconductors, Electronics, Electrical Engineering",Japan,"16,605"
Takenaka,"Engineering, Manufacturing",Japan,"7,786"
Japan Tobacco,"Food, Soft Beverages, Alcohol & Tobacco",Japan,"46,000"
Fuji Electric,"Engineering, Manufacturing",Japan,"27,123"
"Merck KGaA, Darmstadt, Germany and its affiliates",Drugs & Biotechnology,Germany,"63,000"
LG ,Conglomerate,South Korea,"19,000"
Nestlé,"Food, Soft Beverages, Alcohol & Tobacco",Switzerland,"270,000"
Sapporo,"Food, Soft Beverages, Alcohol & Tobacco",Japan,"6,610"
IHG Hotels & Resorts,Travel & Leisure,United Kingdom,"345,000"
Renault,Automotive (Automotive and Suppliers),France,"105,500"
OMRON,"Semiconductors, Electronics, Electrical Engineering",Japan,"28,450"
Qualcomm,"Semiconductors, Electronics, Electrical Engineering",United States,"50,000"
Otto Group,Retail and Wholesale,Germany,"38,456"
Dassault Group,Aerospace & Defense,France,"12,400"
Dr. Oetker,"Food, Soft Beverages, Alcohol & Tobacco",Germany,"29,399"
Mitsubishi Electric,"Engineering, Manufacturing",Japan,"149,134"
Lowe's,Retail and Wholesale,United States,"300,000"
Asustek Computer,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"17,000"
Honeywell International,Aerospace & Defense,United States,"95,000"
Janssen Pharmaceutica,Drugs & Biotechnology,Belgium,"40,000"
Microchip Technology,"Engineering, Manufacturing",United States,"22,600"
Grupo Argos,"Construction, Chemicals, Raw Materials",Colombia,"11,500"
BBVA,Banking and Financial Services,Spain,"119,070"
Celltrion Healthcare,Drugs & Biotechnology,South Korea,"2,529"
Sherwin-Williams,"Construction, Chemicals, Raw Materials",United States,"64,000"
Chery Automobile,Automotive (Automotive and Suppliers),China,"80,000"
Fraunhofer Society,Healthcare & Social Services,Germany,"30,800"
Seiko Epson,"Semiconductors, Electronics, Electrical Engineering",Japan,"74,464"
Nedbank,Business Services & Supplies,South Africa,"25,924"
Sabanci Holding,Conglomerate,Turkey,"60,000"
John Deere,"Engineering, Manufacturing",United States,"82,000"
Micro-Star International,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"13,000"
SABIC,"Construction, Chemicals, Raw Materials",Saudi Arabia,
Intuit,IT Software & Services,United States,"17,300"
Jindal Steel & Power,"Engineering, Manufacturing",India,"21,706"
Swatch Group,"Engineering, Manufacturing",Switzerland,"33,602"
eBay,IT Software & Services,United States,"12,300"
UnitedHealth Group,Insurance,United States,"400,000"
Ackermans & van Haaren,"Construction, Chemicals, Raw Materials",Belgium,"21,887"
Motorola Solutions,"Semiconductors, Electronics, Electrical Engineering",United States,"20,000"
Alstom,"Engineering, Manufacturing",France,"70,000"
Burberry Group,Retail and Wholesale,United Kingdom,"4,000"
Midea Group,"Engineering, Manufacturing",China,"166,000"
Sumitomo,Retail and Wholesale,Japan,"79,692"
ExxonMobil,"Construction, Chemicals, Raw Materials",United States,"61,500"
Barclays,Banking and Financial Services,United Kingdom,"92,400"
Marubeni,Conglomerate,Japan,"50,200"
Virgin Group,Business Services & Supplies,United Kingdom,"60,000"
ENGIE ,Utilities,France,"97,300"
NetEase,IT Software & Services,China,"29,128"
Rohm,"Engineering, Manufacturing",Japan,"23,319"
Ericsson,"Telecommunications Services, Cable Supplier",Sweden,"97,985"
Taiwan Semiconductor,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"73,090"
Electricite de France,Utilities,France,"171,490"
KEPCO,Utilities,South Korea,"23,728"
Leonardo,Aerospace & Defense,Italy,"53,566"
Danone,"Food, Soft Beverages, Alcohol & Tobacco",France,"96,000"
Hana Financial Group,Banking and Financial Services,South Korea,"22,007"
Mitsui,Retail and Wholesale,Japan,"53,602"
Discover Financial Services,Banking and Financial Services,United States,"21,000"
Douglas,Retail and Wholesale,Germany,"18,000"
Bristol Myers Squibb,Drugs & Biotechnology,United States,"34,300"
Baxter International,Health Care Equipment & Services,United States,"60,000"
National Bank of Canada,Banking and Financial Services,Canada,"29,509"
Corning,"Construction, Chemicals, Raw Materials",United States,"58,000"
MetLife,Insurance,United States,"45,000"
Lenovo Group,"Semiconductors, Electronics, Electrical Engineering",Hong Kong,"77,000"
Zurich Insurance Group,Insurance,Switzerland,"50,292"
Deloitte,Professional Services,United Kingdom,"457,000"
E.ON,Utilities,Germany,"72,000"
Hugo Boss ,"Clothing, Shoes, Sports Equipment",Germany,"17,000"
Teva Pharmaceutical,Drugs & Biotechnology,Israel,"37,537"
Raymond James Financial,Banking and Financial Services,United States,"17,000"
Acciona,Conglomerate,Spain,"45,892"
Decathlon,Retail and Wholesale,France,"101,000"
Delta Electronics,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"11,825"
ICBC,Banking and Financial Services,China,"427,587"
Safran,Aerospace & Defense,France,"83,000"
Recruit,Media & Advertising,Japan,"58,493"
Kering,"Clothing, Shoes, Sports Equipment",France,"49,000"
Charoen Pokphand Foods,"Food, Soft Beverages, Alcohol & Tobacco",Thailand,"135,446"
Acer,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"7,813"
Allianz,Insurance,Germany,"157,000"
Guess,"Clothing, Shoes, Sports Equipment",United States,"12,000"
Vestas Wind Systems,"Engineering, Manufacturing",Denmark,"29,000"
Anglo American,"Construction, Chemicals, Raw Materials",United Kingdom,"58,000"
NAB - National Australia Bank,Banking and Financial Services,Australia,"32,000"
Kao ,"Construction, Chemicals, Raw Materials",Japan,"8,199"
Electronic Arts,Media & Advertising,United States,"13,400"
Kone,"Engineering, Manufacturing",Finland,"60,000"
BOE Technology Group,"Engineering, Manufacturing",China,"88,343"
Public Bank,Banking and Financial Services,Malaysia,"19,000"
HDFC Bank,Banking and Financial Services,India,"173,222"
Nissan Motor,Automotive (Automotive and Suppliers),Japan,"134,111"
Japan Airlines,Transportation and Logistics,Japan,"36,500"
Colliers International,Business Services & Supplies,Canada,"15,400"
Telkom Indonesia,"Telecommunications Services, Cable Supplier",Indonesia,"23,793"
BYD Company,Automotive (Automotive and Suppliers),China,"418,700"
Xerox,Business Services & Supplies,United States,"20,100"
FedEx,Transportation and Logistics,United States,"345,000"
Linde,"Construction, Chemicals, Raw Materials",Ireland,"66,323"
MTN Group,"Telecommunications Services, Cable Supplier",South Africa,"19,295"
Rheinmetall,"Engineering, Manufacturing",Germany,"28,000"
HL Mando,Automotive (Automotive and Suppliers),South Korea,"13,044"
Great Wall Motor ,Automotive (Automotive and Suppliers),China,"59,000"
Boston Scientific,Health Care Equipment & Services,United States,"48,000"
Petrobras,"Construction, Chemicals, Raw Materials",Brazil,"40,400"
Ayala Corp,Conglomerate,Philippines,"58,959"
Texas Instruments,"Semiconductors, Electronics, Electrical Engineering",United States,"31,000"
Larsen & Toubro,Conglomerate,India,"55,202"
Fanuc,"Semiconductors, Electronics, Electrical Engineering",Japan,"9,432"
Walt Disney,Media & Advertising,United States,"220,000"
General Motors,Automotive (Automotive and Suppliers),United States,"165,000"
Mitsubishi Motors,Automotive (Automotive and Suppliers),Japan,"80,037"
Zoom Video Communications,IT Software & Services,United States,"7,420"
TotalEnergies,"Construction, Chemicals, Raw Materials",France,"100,000"
Suzuki Motor,Automotive (Automotive and Suppliers),Japan,"16,955"
Westpac Banking Group,Banking and Financial Services,Australia,"40,000"
Garmin,"Semiconductors, Electronics, Electrical Engineering",United States,"19,900"
Brother Industries,"Engineering, Manufacturing",Japan,"41,653"
Commonwealth Bank,Banking and Financial Services,Australia,"52,000"
Alexion Pharmaceuticals,Drugs & Biotechnology,United States,"5,000"
Givaudan,"Construction, Chemicals, Raw Materials",Switzerland,"16,670"
Fosun International,Conglomerate,China,"108,000"
MediaTek,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"21,982"
Sinopec,"Construction, Chemicals, Raw Materials",China,"374,791"
Hard Rock International,Travel & Leisure,United States,"40,000"
Kellanova,"Food, Soft Beverages, Alcohol & Tobacco",United States,"30,000"
CTBC Financial Holding,Banking and Financial Services,Taiwan,"31,200"
ByteDance,IT Software & Services,China,"150,000"
Nielsen,Business Services & Supplies,United Kingdom,"15,000"
Radisson Hotel Group,Travel & Leisure,Belgium,"100,000"
Workday,IT Software & Services,United States,"15,200"
Atlassian,"Engineering, Manufacturing",Australia,"10,726"
ICICI Bank,Banking and Financial Services,India,"130,542"
Turkish Airlines,Transportation and Logistics,Turkey,"5,000"
Kohler,"Engineering, Manufacturing",United States,"40,000"
D'leteren Group,Conglomerate,Belgium,"46,570"
EF Education First,Professional Services,Switzerland,"52,000"
Nippon Telegraph and Telephone,"Telecommunications Services, Cable Supplier",Japan,"338,467"
Olympus,"Semiconductors, Electronics, Electrical Engineering",Japan,"28,838"
General Dynamics,Aerospace & Defense,United States,"100,000"
Fujitsu,"Semiconductors, Electronics, Electrical Engineering",Japan,"124,000"
ANA Holdings,Transportation and Logistics,Japan,"41,225"
Borealis Group,"Construction, Chemicals, Raw Materials",Austria,"6,000"
Booking Holdings,Travel & Leisure,United States,"20,300"
Hyundai Green Food,Retail and Wholesale,South Korea,"8,273"
Medtronic,Health Care Equipment & Services,Ireland,"95,000"
Sasol,"Construction, Chemicals, Raw Materials",South Africa,"29,073"
Skanska,"Construction, Chemicals, Raw Materials",Sweden,"27,000"
Polaris Inc.,Automotive (Automotive and Suppliers),United States,"18,500"
RTX,Aerospace & Defense,United States,"182,000"
Ping An Insurance Group,Insurance,China,"288,751"
Arkema,"Construction, Chemicals, Raw Materials",France,"21,117"
Nippon Paint,"Construction, Chemicals, Raw Materials",Japan,"34,000"
JSW Steel,"Construction, Chemicals, Raw Materials",India,"40,000"
Hisense Visual Technology,"Engineering, Manufacturing",China,"90,000"
AAM - American Axle & Manufacturing,Automotive (Automotive and Suppliers),United States,"19,000"
Veolia Environnement,Utilities,France,"218,000"
Electrolux,"Engineering, Manufacturing",Sweden,"45,000"
Lululemon Athletica,Retail and Wholesale,Canada,"34,000"
Bank of America,Banking and Financial Services,United States,"165,773"
OpenText,IT Software & Services,Canada,"24,000"
Haier Smart Home,"Semiconductors, Electronics, Electrical Engineering",China,"100,000"
KDDI,Utilities,Japan,"49,659"
PT Adaro Energy Indonesia,"Construction, Chemicals, Raw Materials",Indonesia,"15,204"
Standard Chartered,Banking and Financial Services,United Kingdom,"84,958"
SNCF,Transportation and Logistics,France,"276,000"
Mitsui Chemicals,"Construction, Chemicals, Raw Materials",Japan,"19,861"
Geely,Automotive (Automotive and Suppliers),China,"120,000"
Halliburton,"Construction, Chemicals, Raw Materials",United States,"10,513"
Kimberly-Clark,Packaged Goods,United States,"41,000"
Advanced Micro Devices (AMD),"Semiconductors, Electronics, Electrical Engineering",United States,"26,000"
Liebherr Group,"Engineering, Manufacturing",Switzerland,"53,659"
TDK,"Semiconductors, Electronics, Electrical Engineering",Japan,"101,453"
CITIC,Banking and Financial Services,China,"188,862"
FirstRand,Banking and Financial Services,South Africa,"50,178"
Desjardins Group,Banking and Financial Services,Canada,"58,774"
Best Buy,Retail and Wholesale,United States,"105,000"
Murata Manufacturing,"Engineering, Manufacturing",Japan,"73,164"
BP,"Construction, Chemicals, Raw Materials",United Kingdom,"67,600"
Vodafone,"Telecommunications Services, Cable Supplier",United Kingdom,"104,000"
Kakao,IT Software & Services,South Korea,"14,178"
Intersport,Retail and Wholesale,Switzerland,"100,000"
Tokyo Gas,"Construction, Chemicals, Raw Materials",Japan,"15,504"
Mitsui Fudosan,Business Services & Supplies,Japan,"2,049"
Hapag-Lloyd,Transportation and Logistics,Germany,"13,900"
Goodyear,Automotive (Automotive and Suppliers),United States,"71,000"
Telenor,"Telecommunications Services, Cable Supplier",Norway,"11,000"
Hilti,"Semiconductors, Electronics, Electrical Engineering",Liechtenstein,"31,000"
The Estée Lauder Companies,"Construction, Chemicals, Raw Materials",United States,"60,000"
IHH Healthcare,Healthcare & Social Services,Malaysia,"70,000"
NCSOFT,Media & Advertising,South Korea,"5,030"
Naval Group,Aerospace & Defense,France,"16,325"
US Bancorp,Banking and Financial Services,United States,"75,465"
Crocs,"Clothing, Shoes, Sports Equipment",United States,"6,000"
Mondi,"Engineering, Manufacturing",United Kingdom,"22,000"
Eiffage,"Construction, Chemicals, Raw Materials",France,"72,000"
Bajaj,Conglomerate,India,"36,000"
Ajinomoto,"Food, Soft Beverages, Alcohol & Tobacco",Japan,"34,862"
Grundfos,"Engineering, Manufacturing",Denmark,"19,000"
Banco do Brasil,Banking and Financial Services,Brazil,"86,642"
Western Union,Banking and Financial Services,United States,"10,500"
Aflac,Insurance,United States,"10,000"
BAE Systems,Aerospace & Defense,United Kingdom,"35,000"
Hero Motocorp,Automotive (Automotive and Suppliers),India,"9,000"
Banorte,Banking and Financial Services,Mexico,"26,455"
Takashimaya Company,Retail and Wholesale,Japan,"10,768"
KLA,IT Software & Services,United States,"15,000"
Aditya Birla Group,Conglomerate,India,"187,000"
Mattel,Packaged Goods,United States,"31,000"
Dr. Reddy's Laboratories,Drugs & Biotechnology,India,"26,000"
Accenture,Professional Services,Ireland,"738,000"
Schwarz Gruppe,Retail and Wholesale,Germany,"575,000"
Under Armour,"Clothing, Shoes, Sports Equipment",United States,"15,000"
Bonduelle,"Food, Soft Beverages, Alcohol & Tobacco",France,"12,100"
Lite-On Technology,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"29,567"
Yapi Kredi,Banking and Financial Services,Turkey,"10,000"
Shell Plc,"Construction, Chemicals, Raw Materials",Netherlands,"106,000"
Adcorp,Business Services & Supplies,South Africa,"1,900"
SANY Group,"Engineering, Manufacturing",China,"25,930"
Fast Retailing,Retail and Wholesale,Japan,"59,607"
Amorepacific,Packaged Goods,South Korea,"10,000"
Banco Comercial Portugues,Banking and Financial Services,Portugal,"15,745"
Juniper Networks,"Semiconductors, Electronics, Electrical Engineering",United States,"9,000"
Natura & Co.,Retail and Wholesale,Brazil,"35,000"
Evonik Industries,"Construction, Chemicals, Raw Materials",Germany,"33,000"
NTPC,Utilities,India,"18,936"
Bloomberg,IT Software & Services,United States,"21,000"
Energizer Holdings,"Engineering, Manufacturing",United States,"7,500"
Flying Tiger Copenhagen,Retail and Wholesale,Denmark,"7,500"
Citigroup,Banking and Financial Services,United States,"230,000"
Miele Gruppe,"Engineering, Manufacturing",Germany,"23,300"
Alshaya Group,Retail and Wholesale,Kuwait,"10,000"
Dai Nippon Printing,Media & Advertising,Japan,"36,911"
Ottogi,"Food, Soft Beverages, Alcohol & Tobacco",South Korea,"3,122"
Accor,Travel & Leisure,France,"330,000"
Sun Life Financial,Banking and Financial Services,Canada,"50,000"
Bank of Communications,Banking and Financial Services,China,"94,275"
BSH Home Appliances,Retail and Wholesale,Germany,"60,000"
Singapore Airlines,Transportation and Logistics,Singapore,"25,619"
Morimura Group,"Engineering, Manufacturing",Japan,"19,540"
Etisalat,"Telecommunications Services, Cable Supplier",United Arab Emirates,"60,000"
Aviva,Insurance,United Kingdom,"23,701"
Synopsys,IT Software & Services,United States,"19,000"
Cemex,"Construction, Chemicals, Raw Materials",Mexico,"46,000"
Dalian Wanda,Conglomerate,China,"10,000"
Raiffeisen Bank International,Banking and Financial Services,Austria,"44,000"
Valeo,Automotive (Automotive and Suppliers),France,"112,700"
Metropolitan Bank & Trust,Banking and Financial Services,Philippines,"10,000"
ASML Holding,"Semiconductors, Electronics, Electrical Engineering",Netherlands,"42,416"
Bain Capital,Banking and Financial Services,United States,"1,750"
Mediclinic International,Healthcare & Social Services,South Africa,"37,000"
UKG,IT Software & Services,United States,"150,000"
Samvardhana Motherson International,Automotive (Automotive and Suppliers),India,"190,000"
United Parcel Service,Transportation and Logistics,United States,"534,000"
Capital One,Banking and Financial Services,United States,"55,943"
AirBnB,Travel & Leisure,United States,"6,907"
